field	value	hex_color
host	avian	#C5C50C
host	domestic turkey	#C50C0C
host	ferret	#0CC569
host	giant anteater	#0C0CC5
host	human	#0C88C5
host	swine	#C5880C

region	Africa	#C5490C
region	Asia	#A6C50C
region	Europe	#0CC549
region	North America	#0C0CC5
region	Oceania	#A60CC5
region	South America	#C50C49

country	Botswana	#662200
country	Cameroon	#B64209
country	Kenya	#E86D30
country	Senegal	#EAA887
country	South Africa	#F5E0D6
country	China	#556600
country	Hong Kong	#677B02
country	India	#788F04
country	Iran	#89A306
country	Iraq	#99B609
country	Israel	#AAC80D
country	Japan	#B9DB11
country	Kazakhstan	#C7E919
country	Kuwait	#CAE830
country	Malaysia	#CEE847
country	Qatar	#D2E85D
country	Saudi Arabia	#D6E972
country	Singapore	#DAEA87
country	South Korea	#DFEC9C
country	Taiwan	#E4EFB0
country	Thailand	#EAF2C3
country	Turkey	#F0F5D6
country	Belgium	#006622
country	Bulgaria	#038B30
country	Denmark	#08AD3F
country	France	#0ECF4E
country	Germany	#1BE95F
country	Hungary	#44E87A
country	Italy	#6BE994
country	Russia	#91EBAE
country	Spain	#B4EFC7
country	United Kingdom	#D6F5E0
country	Canada	#000066
country	Guam	#0707A7
country	Mexico	#1313E2
country	Nicaragua	#5454E8
country	Puerto Rico	#9898EC
country	USA	#D6D6F5
country	Australia	#8C07A7
country	New Zealand	#DE98EC
country	Brazil	#87032F
country	Chile	#E8306D
country	Peru	#F0B8CA

division	Gaborone	#662200
division	Bandjoun	#8B3003
division	Bertoua	#AD3F08
division	Buea	#CF4E0E
division	Douala	#E95F1B
division	Ebolowa	#E87A44
division	Foumban	#E9946B
division	Yaounde	#EBAE91
division	Kilifi	#EFC7B4
division		#660022
division	Beijing	#5F7201
division	Guangdong-Nanhai	#697E02
division	Guizhou	#738903
division	Inner Mongolia	#7D9504
division	ShanDong	#86A006
division	Shanghai	#90AB07
division	Wenzhou	#99B609
division	Zhejiang	#A3C10B
division	Karnataka	#ACCB0E
division	Kerala	#B5D510
division	Tehran	#BEE013
division	Baghdad	#C7EA15
division	Wasit	#C8E923
division	Aomori	#CAE830
division	Fukushima	#CCE83D
division	Okinawa	#CEE84A
division	Tottori	#D0E857
division	Ahmadi	#D3E863
